     1001	2022-01-24 19:16:21	1	0	1	0
     1001	2022-01-24 19:16:30	1	0	1	0
     1001	2022-01-24 19:17:23	1	0	1	0
     1001	2022-01-25 12:12:51	1	0	1	0
     1001	2022-01-25 12:33:48	1	0	1	0
     1002	2022-01-25 12:33:51	1	0	1	0
     1003	2022-01-25 12:34:51	1	0	1	0
     1002	2022-01-25 12:38:04	1	0	1	0
     1003	2022-01-25 12:42:18	1	0	1	0
     1001	2022-01-25 12:42:22	1	0	1	0
     1002	2022-01-25 12:49:26	1	0	1	0
     1003	2022-01-25 12:55:46	1	0	1	0
     1002	2022-01-25 12:55:50	1	0	1	0
     1001	2022-01-25 13:07:43	1	0	1	0
     1002	2022-01-25 13:34:04	1	0	1	0
     1001	2022-01-25 13:34:07	1	0	1	0
     1003	2022-01-25 13:34:12	1	0	1	0
     1002	2022-01-25 13:49:00	1	0	1	0
     1003	2022-01-25 14:05:18	1	0	1	0
     1002	2022-01-25 14:05:22	1	0	1	0
     1002	2022-01-25 14:35:20	1	0	1	0
     1001	2022-01-25 14:51:16	1	0	1	0
     1003	2022-01-25 14:51:19	1	0	1	0
     1001	2022-01-25 15:03:30	1	0	1	0
     1002	2022-01-25 15:18:29	1	0	1	0
     1001	2022-01-25 15:18:31	1	0	1	0
     1003	2022-01-25 15:18:34	1	0	1	0
